time,R second toe,R third metatarsal head,R fifth metatarsal head,R lateral calcaneal tuberosity,R calcaneal tuberosity,R medial calcaneal tuberosity,R first metatarsal head,R first toe
1.1198381800000021,2.853515625,2.99755859375,6.67315673828125,6.37158203125,5.58154296875,6.735595703125,3.7958984375,5.40283203125
1.1229962600000079,2.861328125,3.056884765625,6.720001220703125,6.4356689453125,5.60205078125,6.8145751953125,3.884765625,5.5341796875
1.126068960000012,2.89404296875,3.099609375,6.778106689453125,6.4356689453125,5.618896484375,6.8409423828125,3.927734375,5.5927734375
1.1292291600000084,2.93408203125,3.2054443359375,6.807586669921875,6.4534912109375,5.618896484375,6.8988037109375,3.927734375,5.66015625
1.1323226599999998,2.96484375,3.272705078125,6.84130859375,6.472900390625,5.663818359375,6.9200439453125,4.0283203125,5.720703125
1.135456640000001,3.00537109375,3.310546875,6.9599609375,6.496826171875,5.666015625,6.9200439453125,4.0458984375,5.7724609375
1.138541680000003,3.02587890625,3.310546875,6.923492431640625,6.5443115234375,5.70166015625,6.948486328125,4.0458984375,5.8095703125
1.1416733900000082,3.06494140625,3.3524169921875,6.923492431640625,6.5443115234375,5.71142578125,6.9783935546875,4.111328125,5.8095703125
1.144766660000002,3.06494140625,3.3524169921875,6.9599609375,6.569091796875,5.768310546875,6.9783935546875,4.111328125,5.88037109375
1.147960960000006,3.06494140625,3.4066162109375,6.999359130859375,6.569091796875,5.800537109375,7.0101318359375,4.2080078125,5.9541015625
1.1510281600000098,3.06494140625,3.4066162109375,6.999359130859375,6.5892333984375,5.8134765625,7.0101318359375,4.2080078125,5.9541015625
1.1541334600000113,3.0810546875,3.4066162109375,6.999359130859375,6.5892333984375,5.83740234375,7.0408935546875,4.2080078125,5.9541015625
1.1572386100000074,3.0810546875,3.422119140625,7.095703125,6.6102294921875,5.854248046875,7.069580078125,4.2080078125,6.001953125
1.1603735099999994,3.0810546875,3.422119140625,7.0252685546875,6.6102294921875,5.881103515625,7.099853515625,4.16015625,6.001953125
1.1634946300000024,3.0810546875,3.422119140625,7.0615234375,6.6102294921875,5.9052734375,7.12890625,4.111328125,5.9541015625
1.1666459400000093,3.0810546875,3.4473876953125,7.0252685546875,6.6102294921875,5.912353515625,7.12890625,4.111328125,5.88037109375
1.1697792900000081,3.0810546875,3.4473876953125,7.0615234375,6.6102294921875,5.933349609375,7.19482421875,4.0283203125,5.8095703125
1.172943790000005,3.0810546875,3.4473876953125,7.0615234375,6.6605224609375,5.933349609375,7.19482421875,3.927734375,5.66015625
1.1760210000000058,3.0810546875,3.4473876953125,7.0615234375,6.6102294921875,5.95166015625,7.2174072265625,3.7958984375,5.470703125
1.1790823500000016,3.0810546875,3.4473876953125,7.0615234375,6.5892333984375,5.95166015625,7.2174072265625,3.7724609375,5.3642578125
1.1822957000000116,3.06494140625,3.4473876953125,7.0615234375,6.5892333984375,5.95166015625,7.2174072265625,3.6806640625,5.2412109375
1.18539976000001,3.06494140625,3.422119140625,7.0615234375,6.5892333984375,5.97509765625,7.2174072265625,3.5634765625,5.0908203125
1.1884752200000008,3.06494140625,3.4473876953125,7.0252685546875,6.5892333984375,5.97509765625,7.2174072265625,3.517578125,4.986328125
1.1916014800000028,3.06494140625,3.4473876953125,7.0615234375,6.5892333984375,5.97509765625,7.2174072265625,3.4130859375,4.951171875
1.1947202700000048,3.02587890625,3.4473876953125,7.0615234375,6.5892333984375,5.95166015625,7.19482421875,3.3740234375,4.78564453125
1.197845270000002,3.06494140625,3.422119140625,7.0615234375,6.5892333984375,5.95166015625,7.19482421875,3.2900390625,4.7880859375
1.2010032900000027,3.02587890625,3.4473876953125,7.0252685546875,6.569091796875,5.95166015625,7.19482421875,3.205078125,4.67578125
1.2040582700000044,3.02587890625,3.422119140625,7.0252685546875,6.569091796875,5.95166015625,7.1605224609375,3.07421875,4.583984375
1.2071732600000047,3.02587890625,3.422119140625,7.0252685546875,6.569091796875,5.933349609375,7.12890625,3.02734375,4.37158203125
1.2102961300000032,3.00537109375,3.4473876953125,7.0252685546875,6.5443115234375,5.912353515625,7.099853515625,2.9599609375,4.3642578125
1.2134588700000108,3.00537109375,3.422119140625,7.0252685546875,6.5443115234375,5.9052734375,7.099853515625,2.875,4.294921875
1.2165342400000014,3.00537109375,3.422119140625,7.095703125,6.5208740234375,5.9052734375,7.069580078125,2.84375,4.17822265625
