Time,layout.dim,layout.data_offset,data_0,data_1,data_2,data_3,data_4,data_5,data_6,data_7
1714300242.0591404,[],0,0.0,-0.19985081255435944,-0.24709217250347137,-0.3749735653400421,-0.2993229627609253,-0.27951380610466003,-0.4930635988712311,-0.32726043462753296
1714300242.0693035,[],0,0.0,-0.1998482644557953,-0.24587984383106232,-0.366965115070343,-0.29154059290885925,-0.26961272954940796,-0.4818877577781677,-0.3151338994503021
1714300242.079208,[],0,0.0,-0.1998445838689804,-0.244572713971138,-0.3656579852104187,-0.29040640592575073,-0.26542866230010986,-0.474940687417984,-0.30661624670028687
1714300242.0892322,[],0,0.0,-0.1998412311077118,-0.24286353588104248,-0.363948792219162,-0.28888314962387085,-0.2629298269748688,-0.46770215034484863,-0.2971660792827606
1714300242.0995014,[],0,0.0,-0.19983811676502228,-0.24095185101032257,-0.3438631594181061,-0.2690475285053253,-0.23991398513317108,-0.4382220506668091,-0.26512476801872253
1714300242.1097338,[],0,0.0,-0.19983428716659546,-0.2391616851091385,-0.3361489176750183,-0.2615562975406647,-0.23083767294883728,-0.4218478202819824,-0.2462933361530304
1714300242.1202102,[],0,0.0,-0.1998310089111328,-0.23699639737606049,-0.3284059762954712,-0.25396662950515747,-0.2214958369731903,-0.39816445112228394,-0.2198541760444641
1714300242.1311522,[],0,0.0,-0.19982439279556274,-0.23471684753894806,-0.3214845359325409,-0.247306227684021,-0.2130611538887024,-0.37897953391075134,-0.19793878495693207
1714300242.1400642,[],0,0.0,-0.19982054829597473,-0.23212748765945435,-0.3140241801738739,-0.24024033546447754,-0.204627126455307,-0.3590955436229706,-0.17548516392707825
1714300242.1499481,[],0,0.0,-0.19981567561626434,-0.22964683175086975,-0.30665895342826843,-0.2332857847213745,-0.19678311049938202,-0.34065553545951843,-0.1549280732870102
1714300242.160046,[],0,0.0,-0.19981317222118378,-0.2270118147134781,-0.29971593618392944,-0.22709690034389496,-0.18997812271118164,-0.32324087619781494,-0.13467594981193542
1714300242.1695693,[],0,0.0,-0.19981034100055695,-0.22379885613918304,-0.2917451858520508,-0.21966883540153503,-0.18200114369392395,-0.3036656081676483,-0.11348056048154831
1714300242.1796737,[],0,0.0,-0.1998070478439331,-0.22036555409431458,-0.2817833721637726,-0.21036866307258606,-0.17211274802684784,-0.2826240360736847,-0.09117843210697174
1714300242.1896286,[],0,0.0,-0.19980227947235107,-0.21660171449184418,-0.27352771162986755,-0.20277325809001923,-0.16342811286449432,-0.2635558247566223,-0.07116678357124329
1714300242.1998978,[],0,0.0,-0.1998009830713272,-0.21255946159362793,-0.26520025730133057,-0.19515277445316315,-0.1538836807012558,-0.24441742897033691,-0.0513591468334198
1714300242.2162306,[],0,0.0,-0.1997966766357422,-0.20843440294265747,-0.2590753436088562,-0.1897241473197937,-0.1459231972694397,-0.22859568893909454,-0.03512699902057648
1714300242.2218258,[],0,0.0,-0.19979140162467957,-0.20402677357196808,-0.2527411878108978,-0.18430466949939728,-0.13656023144721985,-0.21142150461673737,-0.017637982964515686
1714300242.230304,[],0,0.0,-0.199785977602005,-0.1998683363199234,-0.24375344812870026,-0.17639067769050598,-0.12344557791948318,-0.19132427871227264,0.002660461701452732
1714300242.2400074,[],0,0.0,-0.19977881014347076,-0.19280506670475006,-0.23222586512565613,-0.16603994369506836,-0.10684717446565628,-0.16850100457668304,0.02561594732105732
1714300242.249948,[],0,0.0,-0.1997707635164261,-0.18845883011817932,-0.22490274906158447,-0.15980781614780426,-0.0942545086145401,-0.15091435611248016,0.04327741637825966
1714300242.260191,[],0,0.0,-0.19976487755775452,-0.18372756242752075,-0.2171214073896408,-0.1533374786376953,-0.0802803635597229,-0.13201043009757996,0.06226755306124687
1714300242.269658,[],0,0.0,-0.19975993037223816,-0.17869852483272552,-0.20919500291347504,-0.1467050462961197,-0.06206793338060379,-0.10924528539180756,0.08514760434627533
1714300242.2802653,[],0,0.0,-0.19975866377353668,-0.1736593395471573,-0.2010411024093628,-0.13996268808841705,-0.04762057587504387,-0.090469591319561,0.10411916673183441
1714300242.2899323,[],0,0.0,-0.1997579038143158,-0.16851431131362915,-0.1925569623708725,-0.132873073220253,-0.033497653901576996,-0.07216641306877136,0.1227111965417862
1714300242.3016036,[],0,0.0,-0.19975976645946503,-0.16382728517055511,-0.18452852964401245,-0.12602132558822632,-0.02047179453074932,-0.0551164485514164,0.14008480310440063
1714300242.312078,[],0,0.0,-0.1997622400522232,-0.15828898549079895,-0.1774308681488037,-0.12020789086818695,-0.011421546339988708,-0.041333939880132675,0.1543039232492447
1714300242.3201077,[],0,0.0,-0.1997663676738739,-0.15271754562854767,-0.17185942828655243,-0.11568709462881088,-0.0010293788509443402,-0.02574329264461994,0.17038698494434357
1714300242.3298407,[],0,0.0,-0.19976849853992462,-0.1476188451051712,-0.15992188453674316,-0.10466718673706055,0.016696009784936905,3.7408401567518013e-06,0.19659678637981415
1714300242.3403654,[],0,0.0,-0.1997690051794052,-0.14195477962493896,-0.1517997533082962,-0.09736966341733932,0.02783592790365219,0.01749175600707531,0.2148287445306778
1714300242.3498964,[],0,0.0,-0.199768528342247,-0.13622231781482697,-0.14390414953231812,-0.09021215885877609,0.038253460079431534,0.03478287160396576,0.23254139721393585
1714300242.3601124,[],0,0.0,-0.19976408779621124,-0.13049311935901642,-0.13555745780467987,-0.08274610340595245,0.0483342707157135,0.05210461467504501,0.2501862347126007
1714300242.3697746,[],0,0.0,-0.19975970685482025,-0.12487304955720901,-0.12723781168460846,-0.07567297667264938,0.056532178074121475,0.0677536204457283,0.266019731760025
1714300242.3800557,[],0,0.0,-0.1997535228729248,-0.11985068768262863,-0.11928661912679672,-0.06850873678922653,0.06621532142162323,0.08455754071474075,0.28291016817092896
1714300242.3900888,[],0,0.0,-0.19974744319915771,-0.1140555664896965,-0.11086024343967438,-0.06085779145359993,0.07506609708070755,0.1021319180727005,0.30042117834091187
1714300242.3999977,[],0,0.0,-0.199736088514328,-0.1079493910074234,-0.10151902586221695,-0.052337389439344406,0.08409121632575989,0.12008688598871231,0.31815966963768005
1714300242.4098706,[],0,0.0,-0.1997261941432953,-0.09899663180112839,-0.08759521692991257,-0.039206698536872864,0.09722191095352173,0.1411987841129303,0.3389630615711212
1714300242.4199953,[],0,0.0,-0.1997160166501999,-0.09313665330410004,-0.07789036631584167,-0.03026612475514412,0.10616248846054077,0.1590128242969513,0.3563286066055298
1714300242.429657,[],0,0.0,-0.1996821016073227,-0.08679026365280151,-0.06822530925273895,-0.021486306563019753,0.11494230479001999,0.1754872351884842,0.37232765555381775
1714300242.4400704,[],0,0.0,-0.19964599609375,-0.08031681180000305,-0.058435097336769104,-0.012540612369775772,0.1272730976343155,0.1955556869506836,0.3919757902622223
1714300242.449782,[],0,0.0,-0.19959180057048798,-0.07366591691970825,-0.04869424179196358,-0.0037704678252339363,0.13777406513690948,0.21293261647224426,0.4090648591518402
1714300242.4603329,[],0,0.0,-0.19952675700187683,-0.06745678931474686,-0.03932349011301994,0.004722227808088064,0.14863508939743042,0.22889265418052673,0.4248075485229492
1714300242.4763532,[],0,0.0,-0.19940564036369324,-0.05957283824682236,-0.02873140759766102,0.01434703916311264,0.1608174443244934,0.246736541390419,0.442531555891037
1714300242.479646,[],0,0.0,-0.19918783009052277,-0.05095512047410011,-0.018383977934718132,0.023514408618211746,0.1699848175048828,0.2571162283420563,0.45305201411247253
1714300242.4903684,[],0,0.0,-0.19887958467006683,-0.0417579784989357,-0.008133369497954845,0.03235597163438797,0.1810930073261261,0.2663169205188751,0.4626997411251068
1714300242.5001996,[],0,0.0,-0.19866757094860077,-0.03688352555036545,-0.003331219544634223,0.03551695868372917,0.18431034684181213,0.2670861780643463,0.46408775448799133
1714300242.5101607,[],0,0.0,-0.19769690930843353,-0.020522911101579666,0.011681676842272282,0.04874485358595848,0.19556665420532227,0.26385146379470825,0.46147069334983826
1714300242.5197883,[],0,0.0,-0.19665071368217468,-0.008166338317096233,0.020966017618775368,0.056301429867744446,0.2005174160003662,0.2536967694759369,0.45191410183906555
1714300242.530025,[],0,0.0,-0.19531111419200897,0.0043212673626840115,0.02858119085431099,0.06248679757118225,0.20294319093227386,0.24119454622268677,0.4399540424346924
