,Name,Sync,F1X1,F1X3,F1Y1,F1Y2,F1Z1,F1Z2,F1Z3,F1Z4,F2X1,F2X3,F2Y1,F2Y2,F2Z1,F2Z2,F2Z3,F2Z4
1089,1.815,10436.0,116.0,185.0,260.0,170.0,372.0,198.0,1251.0,1792.0,-32.0,-2.0,-16.0,0.0,-18.0,-1.0,-8.0,-16.0
1090,1.816667,10437.0,88.0,151.0,227.0,134.0,338.0,161.0,1225.0,1761.0,-72.0,-40.0,-68.0,-43.0,-61.0,-49.0,-54.0,-51.0
1091,1.818333,10438.0,103.0,171.0,245.0,153.0,358.0,179.0,1250.0,1784.0,-46.0,-17.0,-31.0,-17.0,-34.0,-17.0,-22.0,-24.0
1092,1.82,10429.0,117.0,186.0,258.0,166.0,371.0,196.0,1268.0,1795.0,-34.0,0.0,-21.0,-2.0,-14.0,-9.0,-8.0,-9.0
1093,1.821667,10432.0,122.0,188.0,257.0,167.0,375.0,198.0,1278.0,1804.0,-35.0,-1.0,-17.0,0.0,-16.0,0.0,-10.0,-10.0
1094,1.823333,10434.0,124.0,194.0,261.0,165.0,375.0,201.0,1278.0,1807.0,-29.0,0.0,-19.0,0.0,-16.0,-2.0,-8.0,-6.0
1095,1.825,10419.0,92.0,157.0,227.0,135.0,343.0,164.0,1253.0,1777.0,-72.0,-38.0,-58.0,-47.0,-60.0,-49.0,-53.0,-56.0
1096,1.826667,10405.0,107.0,178.0,244.0,151.0,365.0,187.0,1275.0,1801.0,-48.0,-15.0,-35.0,-15.0,-31.0,-19.0,-23.0,-23.0
1097,1.828333,10427.0,125.0,190.0,260.0,165.0,374.0,199.0,1299.0,1814.0,-37.0,0.0,-19.0,-3.0,-17.0,-2.0,-16.0,-12.0
1098,1.83,10426.0,126.0,199.0,262.0,163.0,379.0,204.0,1302.0,1819.0,-30.0,-2.0,-16.0,1.0,-14.0,-2.0,-7.0,-8.0
1099,1.831667,10429.0,129.0,198.0,264.0,170.0,376.0,204.0,1306.0,1817.0,-32.0,0.0,-17.0,-2.0,-16.0,-1.0,-8.0,-8.0
1100,1.833333,10447.0,97.0,171.0,232.0,135.0,347.0,168.0,1275.0,1790.0,-73.0,-37.0,-61.0,-42.0,-64.0,-48.0,-53.0,-51.0
1101,1.835,10434.0,115.0,186.0,250.0,153.0,367.0,191.0,1302.0,1810.0,-49.0,-15.0,-32.0,-16.0,-30.0,-17.0,-30.0,-24.0
1102,1.836667,10438.0,126.0,204.0,264.0,166.0,381.0,203.0,1319.0,1823.0,-32.0,-7.0,-21.0,-2.0,-19.0,-5.0,-7.0,-14.0
1103,1.838333,10430.0,133.0,210.0,269.0,171.0,382.0,208.0,1326.0,1825.0,-31.0,5.0,-19.0,-1.0,-15.0,-3.0,-8.0,-8.0
1104,1.84,10431.0,134.0,213.0,271.0,171.0,386.0,209.0,1331.0,1828.0,-30.0,0.0,-16.0,1.0,-22.0,-3.0,-7.0,-8.0
1105,1.841667,10439.0,104.0,184.0,241.0,138.0,353.0,174.0,1301.0,1794.0,-74.0,-38.0,-61.0,-43.0,-58.0,-48.0,-57.0,-54.0
1106,1.843333,10418.0,118.0,204.0,256.0,156.0,373.0,198.0,1323.0,1816.0,-48.0,-16.0,-32.0,-14.0,-30.0,-16.0,-22.0,-30.0
1107,1.845,10425.0,136.0,218.0,275.0,168.0,382.0,207.0,1340.0,1825.0,-33.0,0.0,-23.0,0.0,-19.0,-4.0,-13.0,-8.0
1108,1.846667,10430.0,138.0,227.0,276.0,172.0,387.0,210.0,1342.0,1826.0,-30.0,0.0,-17.0,-2.0,-18.0,-2.0,-9.0,-9.0
1109,1.848333,10423.0,138.0,228.0,279.0,172.0,387.0,214.0,1347.0,1824.0,-32.0,3.0,-16.0,0.0,-16.0,-8.0,-8.0,-7.0
1110,1.85,10433.0,109.0,201.0,248.0,137.0,355.0,177.0,1311.0,1794.0,-76.0,-38.0,-60.0,-44.0,-59.0,-47.0,-56.0,-55.0
1111,1.851667,10438.0,125.0,219.0,270.0,156.0,372.0,198.0,1337.0,1812.0,-46.0,-16.0,-35.0,-15.0,-29.0,-17.0,-22.0,-21.0
1112,1.853333,10419.0,139.0,236.0,286.0,173.0,388.0,212.0,1354.0,1824.0,-34.0,-3.0,-17.0,-6.0,-18.0,-3.0,-10.0,-13.0
1113,1.855,10432.0,139.0,242.0,288.0,175.0,390.0,217.0,1352.0,1825.0,-30.0,0.0,-17.0,0.0,-14.0,-4.0,-9.0,-8.0
1114,1.856667,10430.0,148.0,247.0,290.0,175.0,390.0,215.0,1360.0,1823.0,-34.0,1.0,-16.0,1.0,-15.0,0.0,-12.0,-8.0
1115,1.858333,10422.0,116.0,223.0,260.0,138.0,358.0,180.0,1324.0,1790.0,-72.0,-44.0,-62.0,-44.0,-59.0,-47.0,-51.0,-51.0
1116,1.86,10434.0,132.0,240.0,278.0,161.0,372.0,202.0,1347.0,1810.0,-47.0,-14.0,-32.0,-20.0,-29.0,-17.0,-23.0,-23.0
1117,1.861667,10438.0,148.0,259.0,294.0,174.0,389.0,216.0,1356.0,1820.0,-34.0,-1.0,-19.0,1.0,-19.0,-5.0,-9.0,-8.0
